name,price,category
Nestle Milkmaid Condensed Milk 190g,75.0,"Bakery, Cakes & Dairy"
Cavins Belgian Chocolate Milkshake 170ml,54.0,"Bakery, Cakes & Dairy"
Cadbury Dairy Milk Roast Almond 75g,90.95,Snacks & Branded Foods
Anil Ragi Vermicelli 450g,53.6,Snacks & Branded Foods
LG Compounded Hing Powder 50g,95.88,"Foodgrains, Oil & Masala"
Cinthol Original Soap 100g x4,106.0,Beauty & Hygiene
Colgate Strong Teeth Toothpaste 100g,64.86,Beauty & Hygiene
My Home Mopz Fresh Floor Block 500ml,109.0,Cleaning & Household
Vim Lemon Dishwash Bar 60g,38.0,Cleaning & Household
Vim Lemon Dishwash Liquid 250ml,55.8,Cleaning & Household
Pitambari Shining Dishwash Powder 200g,35.0,Cleaning & Household
Godrej Protekt Handwash Lime 96ml,9.4,Beauty & Hygiene
Indica Easy Shampoo Hair Colour 18ml,50.0,Beauty & Hygiene
WY HM MOPZFRS EDS,109.0,Uncategorised
NESTLE MILKMAID CONDENSED MILK 190G,75.0,"Bakery, Cakes & Dairy"
Cavins BELGIAN CHOCOLATE ate MILKSHAKE 170ml,54.0,"Bakery, Cakes & Dairy"
CADBURY DAIRY MILK ISLAND CHOCOLATE 75g,90.95,Snacks & Branded Foods
ANIL RAGI VERMICELLI,53.6,"Foodgrains, Oil & Masala"
LG COMPOUNDED HING POWDER 50 g,95.88,"Foodgrains, Oil & Masala"
CINTHOL ORIGINAL SOAP P 100g x 4,106.0,Beauty & Hygiene
COLGATE TE TOOTHPASTE N STRONG TEETH 2) O 9.00%,64.86,Beauty & Hygiene
VIM LENONS DISHWASH BAR 60g,109.0,Cleaning & Household
VIM LENON DISHWASH LIQUID 250 ML .,38.0,Cleaning & Household
PITAMBARI SHINING DISHWASH POWDER 200,55.8,Cleaning & Household
GODREJ PROTEKT HANDWASH LIME AL 96,35.0,Cleaning & Household
INDICA EASY SHAMPOO HR,9.4,Beauty & Hygiene
MY HOME MOPZ FRESH EDS,50.0,Uncategorised
